comment;user;date;sentiment
@Dreamer how about your personal life ...isn't there anyone ?;UC6M2G1YafglrmftSllrWObg;2024-04-16T17:26:36.153889+00:00;1
🔞;UCbo2d3PJ5AwbmuO-agYmQIA;2024-04-17T08:06:05.590753+00:00;1
I don't know you;UCOWbKc4AQAIsowdgGeHCcHA;2024-04-17T08:06:08.200786+00:00;1
yes good do you like here music 😊;UCID_38Xng1U45VhNSOt16dg;2024-04-17T08:06:08.203553+00:00;1
MAN it doesn't matter but you'll be OK ☺ so take care of yourself.;UCAngVLU52dR568ky16rnxSA;2024-04-17T08:06:08.917791+00:00;1
I am so lonely 🎶🎶🎶🎶🎶;UCA12SXTDZC_CpQwTkmRRBtg;2024-04-17T08:06:14.318219+00:00;1
Egor bro tell her;UCKkFv1QqxWHh3Op8TUmlzRg;2024-04-17T08:06:14.3645+00:00;1
Egor tc hun;UCP0qp6cm5BOoO7RszuPZ80A;2024-04-17T08:06:15.611585+00:00;1
im not your friend;UCOWbKc4AQAIsowdgGeHCcHA;2024-04-17T08:06:15.811474+00:00;1
what??;UCXP1w_HlaV6VIiUaYf7ws1A;2024-04-17T08:06:21.465567+00:00;1
CB nice to meet you🤝and see u next time🖐️adios;UCh2zBIYjSnMgejLXpAIUPVQ;2024-04-17T08:06:22.289781+00:00;1
shivay mujhe pdai krna he;UCgY2SGECc27GeBnOImMt-ow;2024-04-17T08:06:23.044057+00:00;1
ap marriage ho kya;UCa1L1yLxweWU0_KBfdql2lg;2024-04-17T08:06:23.752214+00:00;1
akku what is environment bta do kl science ka test h;UCnrkoLYOl42DmudM3FA-NfQ;2024-04-17T08:06:26.749777+00:00;1
MEAN SUDHIR RATHORE;UCYB9giJ0psnUNeDClERmHbA;2024-04-17T08:06:31.560436+00:00;1
Imma exit to I guess;UCP0qp6cm5BOoO7RszuPZ80A;2024-04-17T08:06:31.79568+00:00;1
Malo mi neka muka jutros ☹️;UCkeuazF-pK8foU9xSl8OA_A;2024-04-17T08:06:32.416613+00:00;1
howdha;UCxG580PA5RGlJhGBy1ybb4g;2024-04-17T08:06:34.190103+00:00;1
saurabh nhi;UCgY2SGECc27GeBnOImMt-ow;2024-04-17T08:06:38.326069+00:00;1
akku whaa par ek mandir he na;UCWDFSg3GCJca-eUf340Xe9Q;2024-04-17T08:06:39.54849+00:00;1
Shweta sasuma ko hospital kyu lekar gaye hoo kiya hua sasu ma ko;UCC2dUcI4ND8QqiifbQlTXvg;2024-04-17T08:06:40.481263+00:00;1
don't be attracted by me;UCOWbKc4AQAIsowdgGeHCcHA;2024-04-17T08:06:40.64438+00:00;1
:face-fuchsia-flower-shape:;UC30D1wCNi8KO_82nXfGxAiA;2024-04-17T08:06:41.742832+00:00;1
Malvin tc;UCP0qp6cm5BOoO7RszuPZ80A;2024-04-17T08:06:42.784102+00:00;1
